Nama Sekolah,NilaiAkreditasi,JumlahSiswa,Jenis Sekolah,Kab/Kota
SMK KOSGORO 2 NGANTANG,91,567,SWASTA,MALANG
SMK KHAIRUDIN GONDANGLEGI,84,573,SWASTA,MALANG
SMK PEMBANGUNAN KIKIL,89,574,SWASTA,PACITAN
SMK DARUL HIKMAH,86,583,SWASTA,JEMBER
SMK TAMANSISWA 2 MADIUN,87,584,SWASTA,MADIUN
SMK DARUL ISTIQOMAH,92,584,SWASTA,PONOROGO
SMK MAHARDIKA KARANGPLOSO,91,586,SWASTA,MALANG
SMK TELKOM SANDHY PUTRA,96,586,SWASTA,MALANG
SMK TEKSTIL PANDAAN,94,587,SWASTA,PASURUAN
SMK DHARMA WANITA,89,592,SWASTA,MALANG
SMK NASIONAL MOJOSARI,84,594,SWASTA,MOJOKERTO
SMA Ma'arif Ngawi,81,595,SWASTA,NGAWI
SMK (SMEA) N 1 PANJI,93,596,NEGERI,SITUBONDO
SMK 10 NOPEMBER BULULAWANG,83,597,SWASTA,MALANG
SMK SHALAHUDDIN,91,597,SWASTA,MALANG
SMK YASMU,93,597,SWASTA,GRESIK
